X,Y,Thickness
0.00,0.00,-2020.7205329107
0.00,49.40,-2030.32766372912
-34.93,34.93,-2027.39584265226
-49.40,0.00,-2021.86707714497
-34.93,-34.93,-2020.95571138845
0.00,-49.40,-2010.7538960126
34.93,-34.93,-2025.06363450035
49.40,0.00,-2029.7379624768
34.93,34.93,-2026.54003922701
0.00,98.80,-2054.3044976352
-37.81,91.28,-2050.23690326289
-69.86,69.86,-2045.9762011663
-91.28,37.81,-2045.34683794181
-98.80,0.00,-2033.82433577616
-91.28,-37.81,-2038.30292793984
-69.86,-69.86,-2036.62131878901
-37.81,-91.28,-2041.06715858925
0.00,-98.80,-2045.55906549911
37.81,-91.28,-2040.36963629383
69.86,-69.86,-2049.83303133576
91.28,-37.81,-2051.44128296653
98.80,0.00,-2053.63106529247
91.28,37.81,-2052.19590038625
69.86,69.86,-2048.95235357166
37.81,91.28,-2051.37209876149
0.00,148.00,-1932.37646972617
-38.31,142.96,-2067.25323322484
-74.00,128.17,-2070.21936576848
-104.65,104.65,-2064.18592312314
-128.17,74.00,-2051.57497068487
-142.96,38.31,-2026.1784676972
-148.00,0.00,-2047.71416196766
-142.96,-38.31,-2017.14173086428
-128.17,-74.00,-2065.43441271844
-104.65,-104.65,-2075.00410889293
-74.00,-128.17,-2092.64883981764
-38.31,-142.96,-2086.44640823499
0.00,-148.00,-2079.44001637722
38.31,-142.96,-2103.5999349561
74.00,-128.17,-2116.40746271835
104.65,-104.65,-2123.7067701324
128.17,-74.00,-2132.5736428789
142.96,-38.31,-2138.92685480864
148.00,0.00,-2137.87872401937
142.96,38.31,-2172.16041543906
128.17,74.00,-2166.70741748983
104.65,104.65,-2165.07523398926
74.00,128.17,-2137.68394516763
38.31,142.96,-2103.59703259968
