X,Y,Thickness
0.00,0.00,-2216.40501614923
0.00,49.40,-2216.64267266378
-34.93,34.93,-2211.04217622435
-49.40,0.00,-2215.51046739379
-34.93,-34.93,-2220.83112177988
0.00,-49.40,-2224.11373699561
34.93,-34.93,-2225.49625623578
49.40,0.00,-2229.17943559805
34.93,34.93,-2216.0387610973
0.00,98.80,-2254.63377118754
-37.81,91.28,-2252.7982348386
-69.86,69.86,-2248.81231219018
-91.28,37.81,-2248.56963329855
-98.80,0.00,-2246.4616480999
-91.28,-37.81,-2250.56844701337
-69.86,-69.86,-2245.24471262607
-37.81,-91.28,-2261.00131423731
0.00,-98.80,-2266.49213710264
37.81,-91.28,-2267.16748466642
69.86,-69.86,-2264.63249151989
91.28,-37.81,-2266.11586544658
98.80,0.00,-2256.33676333783
91.28,37.81,-2264.76629824035
69.86,69.86,-2260.00159111886
37.81,91.28,-2252.2344801112
0.00,148.00,-2217.10736146837
-38.31,142.96,-2275.99295306342
-74.00,128.17,-2280.22535870199
-104.65,104.65,-2302.43348352295
-128.17,74.00,-2285.29938678366
-142.96,38.31,-2303.21883083393
-148.00,0.00,-2247.83043172655
-142.96,-38.31,-2278.99776439704
-128.17,-74.00,-2311.59667218717
-104.65,-104.65,-2308.87638588778
-74.00,-128.17,-2311.04826922471
-38.31,-142.96,-2306.49722837672
0.00,-148.00,-2240.30576279718
38.31,-142.96,-2322.43520878692
74.00,-128.17,-2345.03031110193
104.65,-104.65,-2342.01140860353
128.17,-74.00,-2379.0091046282
142.96,-38.31,-2381.89520356656
148.00,0.00,-2339.29666416025
142.96,38.31,-2384.48662726134
128.17,74.00,-2336.7173964604
104.65,104.65,-2360.8033654382
74.00,128.17,-2310.37102577218
38.31,142.96,-2294.10670105917
