X,Y,CE
0,0,17.03536
-1.00E-05,4.94,16.77181
-3.4931197,3.4930902,16.9985
-4.94,-1.00E-05,17.0248
-3.4930902,-3.4931197,16.9842
1.00E-05,-4.94,16.916656
3.4931197,-3.4930902,16.721064
4.94,1.00E-05,16.69699
3.4930902,3.4931197,16.65256
-3.00E-05,9.88,16.17418
-3.78095,9.12792,16.186917
-6.9862394,6.98619,16.18949
-9.127951,3.78088,16.20397
-9.88,-4.00E-05,16.354966
-9.12792,-3.78095,16.372794
-6.98619,-6.9862394,16.18084
-3.78088,-9.127951,16.183656
4.00E-05,-9.88,16.16878
3.78095,-9.12792,16.075987
6.9862504,-6.98619,16.10256
9.127951,-3.78088,16.16628
9.88,4.00E-05,16.18806
9.12792,3.78095,16.17346
6.9861803,6.9862504,16.13106
3.78088,9.127951,16.130793
-6.00E-05,14.82,15.16568
-3.83576,14.31501,14.95218
-7.4100404,12.83448,15.19125
-10.479361,10.47928,14.8922
-12.83452,7.4099603,14.84495
-14.315041,3.83564,14.79109
-14.82,-6.00E-05,14.754575
-14.31501,-3.83576,14.87297
-12.83446,-7.4100404,15.080863
-10.47928,-10.47937,15.16513
-7.4099402,-12.83452,16.10102
-3.83564,-14.315041,15.542674
6.00E-05,-14.82,16.084635
3.83576,-14.31501,16.331834
7.41006,-12.83446,16.595066
10.47937,-10.47928,16.95204
12.834531,-7.4099402,16.93006
14.315041,-3.83564,17.058337
14.82,6.00E-05,17.03
14.31501,3.83576,17.021626
12.83446,7.41006,16.766363
10.47928,10.47937,16.51736
7.4099402,12.834531,16.050094
3.83564,14.315041,15.47313
