X,Y,Thickness
0,0,309.22485
-1.00E-05,4.94,307.09848
-3.4931197,3.4930902,308.19754
-4.94,-1.00E-05,309.1889
-3.4930902,-3.4931197,309.29184
1.00E-05,-4.94,308.55908
3.4931197,-3.4930902,307.474
4.94,1.00E-05,306.08832
3.4930902,3.4931197,306.15283
-3.00E-05,9.88,297.23508
-3.78095,9.12792,297.9589
-6.9862394,6.98619,298.9847
-9.127951,3.78088,299.77924
-9.88,-4.00E-05,300.4298
-9.12792,-3.78095,300.26706
-6.98619,-6.9862394,299.55972
-3.78088,-9.127951,299.34784
4.00E-05,-9.88,299.2976
3.78095,-9.12792,298.7313
6.9862504,-6.98619,298.15833
9.127951,-3.78088,296.89554
9.88,4.00E-05,296.50104
9.12792,3.78095,296.22418
6.9861803,6.9862504,296.22037
3.78088,9.127951,296.67252
-6.00E-05,14.82,278.53656
-3.83576,14.31501,279.10498
-7.4100404,12.83448,282.1225
-10.479361,10.47928,281.6493
-12.83452,7.4099603,282.48898
-14.315041,3.83564,282.97574
-14.82,-6.00E-05,283.48993
-14.31501,-3.83576,284.18582
-12.83446,-7.4100404,283.965
-10.47928,-10.47937,284.5053
-7.4099402,-12.83452,286.86517
-3.83564,-14.315041,289.09213
6.00E-05,-14.82,292.19983
3.83576,-14.31501,292.19043
7.41006,-12.83446,289.23627
10.47937,-10.47928,285.46982
12.834531,-7.4099402,282.41846
14.315041,-3.83564,279.54077
14.82,6.00E-05,278
14.31501,3.83576,276.07477
12.83446,7.41006,274.7902
10.47928,10.47937,275.0344
7.4099402,12.834531,276.72253
3.83564,14.315041,278.1169
